"","Ludn_2019","Ludn_2020","Ludn_2021","Ludn_2022","Ludn_2023","WB1_2019","WB1_2020","WB1_2021","WB1_2022","WB1_2023","WB2_2019","WB2_2020","WB2_2021","WB2_2022","WB2_2023","WB3_2019","WB3_2020","WB3_2021","WB3_2022","WB3_2023","WB4_2019","WB4_2020","WB4_2021","WB4_2022","WB4_2023","WB5_2019","WB5_2020","WB5_2021","WB5_2022","WB5_2023","WB6_2019","WB6_2020","WB6_2021","WB6_2022","WB6_2023","WB7_2019","WB7_2020","WB7_2021","WB7_2022","WB7_2023","WB8_2019","WB8_2020","WB8_2021","WB8_2022","WB8_2023","WB9_2019","WB9_2020","WB9_2021","WB9_2022","WB9_2023","WB10_2019","WB10_2020","WB10_2021","WB10_2022","WB10_2023","WB11_2019","WB11_2020","WB11_2021","WB11_2022","WB11_2023","WB12_2019","WB12_2020","WB12_2021","WB12_2022","WB12_2023","WL1_2019","WL1_2020","WL1_2021","WL1_2022","WL1_2023","WL2_2019","WL2_2020","WL2_2021","WL2_2022","WL2_2023","WL3_2019","WL3_2020","WL3_2021","WL3_2022","WL3_2023","WL4_2019","WL4_2020","WL4_2021","WL4_2022","WL4_2023","WL5_2019","WL5_2020","WL5_2021","WL5_2022","WL5_2023","WZ1_2019","WZ1_2020","WZ1_2021","WZ1_2022","WZ1_2023","WZ2_2019","WZ2_2020","WZ2_2021","WZ2_2022","WZ2_2023","WZ3_2019","WZ3_2020","WZ3_2021","WZ3_2022","WZ3_2023","WZ4_2019","WZ4_2020","WZ4_2021","WZ4_2022","WZ4_2023","WZ5_2019","WZ5_2020","WZ5_2021","WZ5_2022","WZ5_2023","WZ6_2019"
"301",85757,85179,84435,82087,81371,85.59,77.89,82.36,86.98,90.7,72.68,74.91,73.21,70.32,77.38,8.26,5.94,7.45,3.33,2.76,14.65,24.68,18.87,18.41,11.18,64.99,62.12,65.28,66.43,67.99,7.33,5.04,6.5,2.96,2.54,159.38,111.37,134.14,83.9,106.26,6.66,6.11,9.94,3.43,2.9,141.92,123.57,149.52,115.08,123.86,149.41,125.44,156.11,118.06,126.11,66.93,79.72,64.06,84.7,79.3,10.77,7.95,11.37,4.08,3.51,715.84,850.84,866.66,878.71,1072.49,81.32,67.42,88.13,41.63,38.19,294.72,268.86,237.33,190.2,175.9,259.34,467.03,431.58,375.75,229.99,231.67,439.17,397.68,321.84,214.02,25.61,18.44,16.51,13.24,11.51,3.62,3.99,2.69,4.57,4.61,3.12,2.26,2.61,4.77,1.89,2.78,1.92,1.5,7.65,7.3,4.53,3.85,3.99,6.79,2.57,29.61
"302",33740,33489,33205,32062,31837,92.68,80.86,89.88,95.49,79.12,79.85,78.44,78.56,73.11,81.96,3.67,6.04,6.84,8.92,4.8,11.01,22.06,17.87,8.06,27.44,66.36,65.88,67.3,65.58,67.63,3.44,6.22,6.15,8.91,3.84,97.08,111.72,89.25,171.06,86.65,2.15,4.88,5.58,9.97,3.48,116.84,106.21,108.35,218.36,111.92,119.48,106.97,109.13,230.9,112.21,83.7,93.49,91.63,43.31,89.12,4.11,10.54,9.98,13.24,7.27,1184.81,1398.66,1445.45,1538.45,1849.11,54.39,107.7,125.81,187.75,108.19,376.32,392.67,440.64,438.56,421.49,238.83,565.36,442.14,405.54,931.41,211.18,507.22,407.17,387.75,911.24,23.51,17.81,21.52,19.9,14.78,6.92,3.65,3.5,2.34,3.9,2.34,2.95,1.98,2.17,1.76,2.59,1.78,1.24,6.86,7.12,3.65,5.27,3.08,3.12,3.05,35.31
"303",210940,211259,210689,211700,211735,86.05,84.22,76.26,77.34,84.83,59.04,60.66,59.36,55.62,58.37,30.52,12.56,21.26,18.55,16.09,21.94,17.35,23.47,39.2,22.29,57.31,48.68,54.64,56.69,59.58,26.29,10.73,16.22,14.35,13.65,239.28,170.52,216.98,91.12,141.23,32.08,37.93,50.55,46.42,53.93,261.63,302.16,337.83,207.53,344.24,292.93,347.53,376.14,215.89,367.48,34.14,28.77,26.59,46.32,27.21,40.33,15.3,26.45,23.12,19.72,489.64,511.48,534.15,474.39,526.64,253.12,105.89,191.31,158.18,145.19,264.26,229.36,194.91,158.99,140.98,505.84,572.65,852.31,1001.66,818.41,474.46,537.91,817.31,966.83,797.75,27.42,22.91,16.52,14.42,13.26,1.04,2.17,1.02,1.01,0.97,4.06,3.9,3.21,4.18,3.02,2.94,1.9,1.49,7.07,8.15,6.37,5.92,4.99,6.54,4.28,24.75
"304",80154,79525,78506,74951,74124,96.51,86.92,92.27,95.77,74.88,70.71,73.22,72.22,70.41,73.53,9.82,6.94,6.05,6.4,1.63,11.26,10.36,12.61,5.86,26.52,65.57,63.66,63.27,60.3,63.53,9.92,6.82,5.66,6.16,1.25,117.46,204.42,106.37,185.63,99.04,10.99,19.57,19.55,22.3,16.97,179.88,297.45,252.24,479.52,163.27,186.66,299.2,256.21,499.8,163.82,53.57,33.42,39.03,20.01,61.04,11.66,10.51,8.64,7.36,2.84,817.5,963.99,1038.8,1207.53,1273.59,113.5,91.39,86.97,109.76,28.16,17.09,30.18,26.35,21.38,16.19,258.06,425.05,504.88,504.6,1012.99,246.83,423.8,499.78,499.27,1007.59,1.43,1.99,1.69,1.19,0.7,0.15,0.33,0.3,0.19,0.57,0.96,0.12,0.36,0.32,0.25,1.55,1.86,2.11,2.24,2.34,1.25,0.18,0.49,0.44,0.41,2.35
"305",52336,51834,51149,49110,48693,87.25,94.3,94.85,97.89,85.68,69.89,70.82,70.19,65.88,71.54,12.82,13.27,13.41,7.78,6.67,19.65,11.66,9.14,15.73,24.04,66.37,64.75,64.06,62.8,66.01,11.19,12.54,12.73,7.62,5.72,128.66,168.67,216.19,57.69,79.17,18.2,25.01,33.31,24.85,14.13,196.93,331.62,503.11,247.43,155.86,197.81,331.62,503.11,247.43,155.86,50.55,30.15,19.88,40.42,64.16,15.94,18.32,17.86,9.96,8.87,1289.1,1474.3,1571.18,1651,2027.05,236.45,276.25,300.11,194.93,188.97,0,1.03,5.61,17.64,24.88,781.61,790.58,981.22,1067.77,1304.03,778.03,790.58,981.22,1067.77,1304.03,0,0.05,0.24,0.69,0.75,0,0,0.02,0.09,0.13,0.17,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,3.23
"306",109512,108436,106910,101833,100625,95.13,95.67,94.98,91.41,92.45,68.92,71.89,72.08,70.93,76.23,6.15,2.95,2.8,-0.56,3.12,5.75,6.41,7.8,12.46,8.4,61.08,57.15,56.62,56.93,59.41,6.63,2.9,2.67,-0.43,2.91,196.75,112.53,98.25,61.67,127.13,9.38,8.48,7.11,1.15,3.11,233.15,221.71,184.91,108.46,132.01,272.14,233.47,191.04,108.8,133.85,36.75,42.83,52.34,91.91,74.71,8.41,3.07,4.33,-0.81,4.17,862.68,1032.83,1134.97,1195.03,1487.23,77.02,42.37,44.11,-9.49,60.92,505.56,501.36,499.16,514.23,517.46,216.18,232.06,256.78,272.3,241.92,195.18,222.83,247.43,262.48,231.98,38.43,33.38,30.11,27.9,24.52,6.56,11.83,11.32,-54.18,8.49,3.12,1.38,1.06,2.34,2.44,3.96,2.29,1.65,6.48,8.03,4.01,1.8,1.38,3.18,3.37,95.32
"307",39100,38691,38237,37157,36886,95.21,85.87,93.47,98.96,95.85,72.77,76.4,72.92,67.92,77.22,5.84,10.24,5.22,9.22,3.27,5.5,18.65,9.91,5.28,8.57,50.29,56.04,56.57,51.56,54.84,5.56,8.8,5.38,9.14,3.14,198.34,129.76,117.05,202.82,83.87,9.26,11.19,14.75,14.97,10.44,158.74,156.2,192.84,307.73,199.98,183.71,163.35,215.91,404.41,226.04,54.43,61.22,46.32,24.73,44.24,10.12,12.94,9.44,12.37,4.57,977.58,1058.76,1033.5,1243.53,1420.49,78.47,141.98,73.99,168.83,60.18,345.58,312.96,332.27,298.77,257.49,166.52,502.07,355.76,418.15,420.46,135.22,465.8,319.05,374.99,376.99,24.49,19.39,21.91,16.15,13.42,4.4,2.2,4.49,1.77,4.28,2.84,2.68,2.72,3.4,3.42,2.53,2.22,1.38,6.59,8.6,4.15,4.35,3.76,4.64,4.74,27.95
"308",77352,76736,75900,73023,72227,97.82,92.73,92.84,92.95,75.24,71.27,75.23,74.17,71.56,77.17,5.27,9.98,1.08,2.24,-1.01,4.2,6.01,6.27,11.04,24.68,59.8,58.95,56.97,56.46,61.65,5.46,9.41,1.89,3.64,-0.76,180.56,309.63,132.9,80.99,96.38,2.98,11.34,13.69,9.81,5.97,165.61,279.36,296.44,177.47,77.25,173.3,312.53,322.75,184.31,62.57,57.7,32,30.98,54.26,159.83,7,11.18,3.84,5.62,-1.1,755.46,921.04,937.79,1009.89,1138.36,55.9,122.21,13.65,31.61,-14.94,318.03,307.55,299.93,299.39,287.13,81.54,233.27,281.04,330.54,620.8,76.37,220.24,269.84,315.42,305.49,29.35,23.3,22.02,19.72,14.64,5.69,2.52,21.98,9.47,-19.22,1.24,1.44,1.14,2.35,17.13,2.6,1.92,1.46,6.85,7.19,1.56,2.04,1.56,3.29,28.33,159.9
"309",74343,73567,72482,69539,68596,92.16,91.68,86.91,84.37,86.8,73.32,75.74,74.97,73.12,78.06,5.32,5.39,7.67,5.73,3.58,9.05,11.66,14.33,22.95,15.89,69.72,69.54,71.29,71.57,74,4.9,4.96,7.33,5.19,4.16,146.73,115.88,147.19,86.41,103.08,6.2,5.81,9.95,4.42,3.3,159.86,144.47,166.75,117.61,73.3,171.43,150.75,174.08,118.65,52.8,58.33,66.33,57.45,84.28,189.38,6.76,6.02,10.99,7.66,5.56,997.65,1146.14,1246.48,1354.32,1586.26,72.33,81.63,127.57,106.21,72.71,520.96,499.77,479.06,468.81,442.84,244.6,311.62,475.32,647.43,479.77,219.8,284.94,447.13,616.89,195.48,35.28,30.28,25.04,21.36,18.92,7.2,6.12,3.76,4.41,6.09,3.02,2.54,2.07,2.89,13.81,3.81,3.06,2.39,7.01,8.8,4.03,3.4,2.88,4.17,19.28,80.13
"310",89925,89152,87968,84897,84081,92.1,89.15,94.16,96.35,92.19,67.69,69.69,68.51,66.86,73.47,7.24,4.01,6.24,2.33,0.09,9.62,5.42,6.63,6.61,13.95,63.77,65.31,65.11,63.03,65.75,6.67,5.71,7.06,3.7,0.35,160.17,294.2,186.98,88.6,52.78,9.69,15.56,17.74,12.69,4.07,167.9,306.13,283.41,134.22,127.21,176.16,417.25,383.04,187.83,127.21,56.77,23.97,26.11,53.24,78.61,9.88,7.49,10.59,4.9,1.03,751.96,843.53,883.41,948.93,1149.65,80.38,48.52,80.5,33.13,1.34,401.31,368.9,327.26,286.09,288.86,206.59,313.72,375.26,337.98,322.53,193.24,277.83,328.65,184.26,322.53,33.27,27.17,23.9,19.42,17.02,4.99,7.6,4.07,8.64,215.57,2,3.24,3.78,11.77,1.36,2.7,2.21,1.57,6.89,7.98,2.93,4.81,4.97,15.78,1.87,81.12
