"","Ludn_2019","Ludn_2020","Ludn_2021","Ludn_2022","Ludn_2023","WB1_2019","WB1_2020","WB1_2021","WB1_2022","WB1_2023","WB2_2019","WB2_2020","WB2_2021","WB2_2022","WB2_2023","WB3_2019","WB3_2020","WB3_2021","WB3_2022","WB3_2023","WB4_2019","WB4_2020","WB4_2021","WB4_2022","WB4_2023","WB5_2019","WB5_2020","WB5_2021","WB5_2022","WB5_2023","WB6_2019","WB6_2020","WB6_2021","WB6_2022","WB6_2023","WB7_2019","WB7_2020","WB7_2021","WB7_2022","WB7_2023","WB8_2019","WB8_2020","WB8_2021","WB8_2022","WB8_2023","WB9_2019","WB9_2020","WB9_2021","WB9_2022","WB9_2023","WB10_2019","WB10_2020","WB10_2021","WB10_2022","WB10_2023","WB11_2019","WB11_2020","WB11_2021","WB11_2022","WB11_2023","WB12_2019","WB12_2020","WB12_2021","WB12_2022","WB12_2023","WL1_2019","WL1_2020","WL1_2021","WL1_2022","WL1_2023","WL2_2019","WL2_2020","WL2_2021","WL2_2022","WL2_2023","WL3_2019","WL3_2020","WL3_2021","WL3_2022","WL3_2023","WL4_2019","WL4_2020","WL4_2021","WL4_2022","WL4_2023","WL5_2019","WL5_2020","WL5_2021","WL5_2022","WL5_2023","WZ1_2019","WZ1_2020","WZ1_2021","WZ1_2022","WZ1_2023","WZ2_2019","WZ2_2020","WZ2_2021","WZ2_2022","WZ2_2023","WZ3_2019","WZ3_2020","WZ3_2021","WZ3_2022","WZ3_2023","WZ4_2019","WZ4_2020","WZ4_2021","WZ4_2022","WZ4_2023","WZ5_2019","WZ5_2020","WZ5_2021","WZ5_2022","WZ5_2023","WZ6_2019"
"1",79200,78778,77807,76184,75429,93.18,89.05,91.85,96.77,92.74,50.59,53.7,54.71,52.23,54.76,1.97,1,5.53,2.75,-4.21,13.05,10.42,7.03,10.03,15.99,39.93,39.94,40.25,39.89,42.15,4.34,2.67,9.62,3.96,-3.01,63.18,115.53,201.77,56.19,18.21,16.4,10.27,18.65,10.31,14.22,164.47,162.63,257.21,174.09,68.23,179.4,200.16,311.1,201.9,66.34,55.74,49.96,32.14,49.53,150.73,6.24,3.52,10.43,5.32,-5.2,2824.35,3296.36,3873.2,3901.6,4233.99,110.12,61.69,391.65,205.67,-325.62,2732.1,2355.77,2554.47,2295.26,3946.54,1663.22,1838.31,1746.04,1938.25,1107.9,1473.14,1414.79,1572.74,1634.36,1017.06,45.6,34.17,33.14,29.73,47.34,24.81,38.19,6.52,11.16,-12.12,4.25,6.89,2.65,6.01,4.25,2.36,2.19,1.21,6.96,6.68,6.15,10.87,4,8.49,5.73,33.89
"2",99486,99072,97958,93473,92568,91.52,90.88,90.29,94.15,85.41,50.36,52.68,51.58,50.09,50.79,4.18,4.04,8.39,3.51,3,11.88,12.17,9.26,16.22,18.25,40.38,40.45,41.25,39.39,45.04,9.29,10.94,16.46,5.58,10.68,104.17,105.81,204.7,52.09,92.75,7.34,10.28,20.49,10.15,5.57,113.36,135.7,249.9,151.31,126.96,116.26,142.88,288.43,157.7,130.12,86.01,69.99,34.67,63.41,76.85,13.28,16.7,24.37,7.81,15.23,2908.22,3223.03,3527.87,3694.25,3837.4,241.42,247.04,573.61,259.08,226.31,2806.07,2888.94,2991.48,2848.2,2598.6,1028.78,1325.66,2009.04,2344.26,2320.27,866.95,1162.23,1844.68,2172.55,2128.91,44.47,42.91,39.49,36.36,29.37,11.62,11.69,5.22,10.99,11.48,3.49,3.01,2.57,4.15,4.1,2.09,1.36,1.02,5.39,6.6,5.16,4.6,3.82,5.94,5.81,36.16
"3",641607,643782,641201,673923,674132,94,92.89,90.98,89.82,91.15,31.2,36.29,35.42,32.21,30.26,8.27,2.77,11.45,3.48,0.43,14.69,13.95,16.98,18.67,17.03,33.62,33.39,33.36,34.1,35.74,10.58,4.96,16.03,9.08,5.91,92.82,66.12,117.96,66.87,49.61,1.58,2.35,8.44,2.76,2.9,76.97,59.05,104.15,84.7,53.82,70.14,47.05,105.17,80.21,45.18,142.56,212.53,95.08,124.68,221.36,13.35,6.49,21.45,12.1,7.2,2252.99,2710.11,3112.81,2639.12,2609.91,597.26,206.86,1006.28,285,37.24,4036.22,4888.01,5743.78,5575.05,6351.82,1137.65,898.85,2066.66,1989.45,1126.31,799.84,553.85,1673.62,1456.01,796.23,52.54,60.8,59.46,61.12,67.13,6.76,23.63,5.71,19.56,170.58,5.39,4.94,4.49,8.14,6.38,1.89,1.06,0.71,3.75,4.31,6.84,6.66,5.97,10.73,7.69,22.63
"4",111896,110603,108944,102490,101082,79.63,80.78,92.27,85.88,90,48.36,50.82,50.81,50.34,50.45,4.37,4.58,8.7,0.89,-3.5,20.68,24.68,17.41,17.47,17.56,30.24,31.94,33.58,32.82,35.08,6.21,4.5,10.39,2.6,-1.78,120.09,90.71,88.7,82.66,34.53,7.92,8.62,12.53,9.89,6.08,100.69,106.8,110.32,77.43,67.33,100.9,107.68,112.59,56.45,58.17,99.11,92.86,88.82,177.14,171.91,11.14,8.13,15.21,4.59,-2.29,2667.35,3011.54,3366.2,3650.1,3748.13,240.76,271.14,576.3,64.46,-260.05,5385.23,5697.56,6242.55,6715.67,7537.28,1793.48,2235.51,1716.37,2272.55,1412.1,1387.47,1994.96,1435.69,858.55,953.03,77.75,77.68,86.94,79.53,91.3,22.37,21.01,10.83,104.19,-28.98,8.39,5.35,5.68,21.18,12.93,3.25,2.67,2.04,5.58,8.07,14.32,9.24,8.25,33.48,17.39,43.12
"5",349021,346739,341692,331898,328370,90.42,93.34,96.07,91.34,92.68,42.26,46.78,47,43.04,44.11,13.6,9.33,12.94,7.12,6.52,24.19,16.85,10.91,10.99,17.49,35.66,35.4,35.55,37.49,41.68,13.19,9.47,13.48,7.96,7.2,87.76,89.61,159.66,144.77,72.74,5.58,6.16,9.65,11.51,2.97,101.95,107.94,177.14,188.09,91.29,102.1,108.97,194.16,209.92,87.12,97.94,91.77,51.5,47.64,114.78,18.76,13.48,18.39,11.18,9.16,2597.82,2997.56,3362.2,3085.61,3268.87,835.98,597.89,925.31,510.38,483.37,3038.29,3243.93,3122.23,3016.7,2751.59,1865.3,1437.13,1649.24,1929.71,1981.99,1730.55,1283.11,1480.97,1725.95,1279.83,44.69,47.26,41.93,38.43,34.41,3.63,5.43,3.37,5.91,5.69,2.83,2.89,2.7,4.26,10.89,1.9,1.37,1.05,4.32,6.14,4.01,4.15,3.66,5.86,13.78,42.77
"6",94732,94076,92894,89832,89081,88.49,95.82,89.48,90.42,91.05,57.04,61.1,60.12,56.5,58.93,3.27,3.2,7.86,0.58,-1.97,11.82,8.74,13.72,19.17,15.27,39.87,40.05,40.91,40.32,43.33,10.13,3.44,10.59,1.56,-0.59,125.66,81.56,133.93,47.43,42.74,1.84,7.09,12.41,3.76,1.63,113.28,80.72,156.22,91.61,55.61,116.03,75.58,164.82,90.4,48.32,86.18,132.31,60.67,110.62,206.94,15.89,4.83,15.8,2.63,0.01,3475.13,4067.73,4432.82,4413.78,4776.52,199.36,213.19,579.43,45.41,-159.65,1568.33,2057.98,2242.16,2554.12,3245.7,1079.4,630.91,1944.91,1931.09,964.89,916.15,466.52,1779.83,1664.65,720.09,22.78,29.62,27.21,29.56,36.46,7.87,9.65,3.87,56.25,-20.33,3.1,2.83,2.41,4.74,5.25,3.2,1.58,1.51,5.6,6.86,4.85,4.26,3.73,6.96,6.94,30.76
"7",201798,201106,197812,196298,195263,92.38,87.34,92.08,90.58,88.89,47.75,51.47,50.18,45.62,46.78,7.91,8.27,14.76,7.36,5.64,21.16,20.11,15.4,17.03,18.35,36.54,37.95,38.7,39.06,43.07,9.27,11.4,16.17,9.53,8.31,65.38,98.6,150.62,93.43,85.59,4.92,7.46,7.7,7.24,7.91,68.42,97.45,143.44,107.48,99.45,62.75,96.85,160.52,109.67,99.32,159.35,103.25,62.3,91.18,100.68,13.31,17.96,23.73,13.46,12.01,2816.55,3216.34,3562.76,3148.51,3323.96,466.48,516.97,1048.27,508.14,400.96,5282.4,5546.44,5208.61,5692.57,5990.59,1176.9,1738.27,2201.72,1825.1,1843.57,915.01,1397.7,1768.44,1439.4,1496.13,82.72,77.51,67.55,74.71,74.94,11.32,10.73,4.97,11.2,14.94,5.95,6.16,6.56,8.32,8.35,2.24,1.81,1.39,4.37,5.35,8.5,9.73,9.44,11.66,11.09,45.15
"8",110287,109347,107745,102730,101450,96.98,95.54,95.89,94.23,94.92,49.61,51.99,50.3,48.01,47.53,8.74,6.1,9.11,-0.09,-1.56,13.73,10.78,13.96,12.67,16.19,43.09,43.25,43.73,43.96,47.57,9.12,6.11,9.62,0.51,-1.07,81.64,94.9,90.85,41.52,19.37,3.65,6.04,11.21,8.14,6.44,92.78,90.71,103.71,102.76,34.03,90.25,87.11,104.68,103.34,-21.45,110.81,114.8,95.53,96.77,-466.19,12.55,8.01,13.17,1.09,-0.83,3129.44,3535.16,3725.69,3613.59,3684.36,551.31,414.97,674.85,-6.81,-120.71,2339.35,2589.04,3159.53,3691.97,4832.72,1148.41,971.78,1428.69,1362.09,952.49,826.57,672,1143.53,1129.33,-326.15,35.97,36.38,40.9,46.22,59.18,4.24,6.24,4.68,-542.03,-40.03,6.27,5.17,4.34,5.62,19.47,3.67,2.64,1.58,5.86,6.43,8.48,7.34,5.94,7.68,23.91,26.67
"9",57264,57194,56760,54926,54581,91.17,88.1,93.37,93.4,93.13,63.44,66.65,65.68,62.79,64.72,11.37,9.12,11.75,6.37,5.47,14.84,15.86,12.09,20.42,11.18,43.42,42.49,42.71,43.79,48.9,11.4,8.64,12.15,6.18,5.69,136.26,132.15,155.44,55.92,107.87,12.41,13.75,16.2,9.33,12.67,175.28,179.84,209.55,125.6,163.42,188.1,191.13,243.04,126.13,173.71,53.16,52.32,41.15,79.29,57.57,17.76,13.5,18.57,9.19,7.96,3790.62,4330.27,4680.76,4623.15,4912.46,679.24,592.84,837.64,468.71,414.94,1056.42,900.36,642.97,901.62,1126.67,1893.29,2283.89,2365.71,2267.36,1715.82,1736.13,2126.53,2101.44,2230.95,1569.25,16.12,12.21,8.42,11.44,13.82,1.56,1.52,0.77,1.92,2.72,2.82,2.37,3.58,0.92,2.51,2.61,1.91,1.39,4.01,5.17,4.34,3.93,5.36,1.35,3.25,17.52
"10",62331,61588,60738,58357,57576,93.78,78.5,77.06,93.97,92.44,62.98,65.13,64.27,62.07,63.3,3.64,3.42,7.37,3.58,4.09,7.79,22.76,24.67,11.14,14.04,44.98,43.61,44.05,42.97,46.49,5.04,3.62,6.41,3.62,4.2,126.09,108.29,122.46,82.72,78.32,0.7,3.21,14.26,5.03,0.3,107.8,111.65,149.38,146.58,101.87,109.12,111.65,153.23,151.98,102.04,91.64,89.57,65.26,65.8,98,7.75,6.02,11.23,5.11,5.89,3656.18,4107.88,4470.92,4551.72,4904,211.31,215.51,512.87,262.54,317.08,2526.83,2606.03,2642.5,2578.95,2504.38,596.09,2003.61,3397.48,1449.86,1348.26,515.87,2003.61,3232.84,1347.04,1238.7,40.82,32.43,29.27,33.05,29.88,11.96,12.09,5.15,9.82,7.9,2.8,1.21,2.5,3.18,4.17,3.67,3.74,2.31,5.65,9.58,4.03,2.17,4.38,4.54,5.39,115.72
"11",339770,339547,337788,331991,330447,92.79,93.19,90.93,92.26,93.94,44.51,49.1,48.26,43.76,43.24,4.32,1.24,6.18,-0.01,-2.76,13.81,11.25,16,13.86,12.69,39.28,40.97,40.6,41.89,45.95,5.27,1.69,6.42,2.53,-1.19,78.83,68.25,90.42,52.01,24.73,1.66,0.49,4.71,2.97,0.13,72.61,63.1,73.09,70.56,40.73,66.2,51.29,65.49,63.32,24.49,151.05,194.96,152.69,157.94,408.41,7.43,2.51,9.51,3.6,-1.28,2866.84,3232.24,3591.74,3240.8,3268.08,278.1,81.77,460.21,-0.98,-208.73,4555.45,4862.84,5342.12,5833.32,6422.51,885.04,686.55,1246.7,1047.69,585.72,653.97,422.7,871.25,754.62,276.34,65.62,68.84,65.27,72.68,79.83,16.38,59.47,11.61,-5952.46,-30.77,4.81,4.81,5.2,7.13,9.42,2.25,1.56,0.94,4.78,6.98,6.73,7,7.52,9.76,11.54,44.42
"12",63511,63223,62368,59274,58685,90.08,86.82,88.79,84.95,84.34,61.7,65.06,63.9,61.09,63.62,5.41,4.26,9.04,4.26,3.83,17.51,15.2,18.11,27.03,23.53,44.65,45.37,45.65,46.48,49.94,6,4.51,9.86,4.53,4.25,81.77,113.29,107.68,61.94,75.69,4.46,12.13,19.26,7.44,9.85,71.21,113.2,152.18,114.44,95.54,66.93,115.43,158.89,115.59,95.14,149.4,86.64,62.94,86.51,105.11,9.11,7.1,14.14,7.16,6.4,4189.74,4633.42,4993.48,5039.84,5581.38,367.45,303.5,706.14,351.19,335.93,1939,2553.01,3151.96,3369.65,4328.19,1115,1616.26,2699.62,3616.32,2703.34,912.76,1410.42,2497.69,3382.75,2469.34,25.72,31.12,35.81,34.7,41.61,5.28,8.41,4.46,9.59,12.88,3.3,3.03,2.71,4.22,5.03,2.4,1.66,1.16,5.23,6.69,4.97,4.82,4.15,6.56,7.14,23.05
"13",123691,123341,121714,117379,115847,88.72,84.74,89.46,85.07,91.21,52.25,55.74,54.44,50.23,51.62,6.25,5.13,10.75,3.08,3.14,20.56,20.22,22.31,21.01,18.98,42.34,39.84,41.55,43.92,47.95,8.47,6.89,12.42,4.87,4.17,78.19,96.22,87.89,80.04,56.29,12.15,15.47,17.72,12.91,9.73,123.48,124.23,143.23,158.88,113.43,126.1,129.11,146.22,158.88,114.14,79.3,77.46,68.39,62.94,87.61,13.21,11.45,19.33,7.74,5.35,3044.19,3499.06,3779.65,3522.61,3885.62,364.21,321.78,746.54,215.85,236.46,1533.07,1940.6,2396.16,2484.11,2987.31,1939.8,2252.25,2725.4,2872.55,2040.03,1782.15,1948.45,2602.16,2872.55,1949.4,23.34,26.2,30.88,30.13,36.2,4.21,6.03,3.21,11.51,12.63,2.84,4.39,1.79,1.25,2.72,1.89,1.1,0.65,4.15,4.48,4.37,7.39,2.72,1.9,3.55,18.35
"14",140874,141280,140708,139503,139132,84.41,92.3,92.33,91.62,81.06,44.66,49.63,47.55,43.2,43.17,5.72,1.67,10.18,1.54,-3,18.84,9.06,12.73,14.64,22.86,40.74,40.21,41.32,42.13,45.73,6.16,2.41,11.14,2.32,-0.58,110.51,102.25,141.08,63.22,66.75,8.62,11.54,13.76,9.98,9.44,114.96,170.78,202.37,139.15,96.44,116.12,184.04,213.73,142.53,96.24,86.12,54.34,46.79,70.16,103.91,9.73,4.06,16.3,3.22,-0.57,2881.76,3310.76,3623.88,3336.09,3394.21,368.75,111.46,775.65,118.57,-235.65,2741.5,2896.21,2797.2,2995.46,3872,1749.23,1325.5,2244.87,1971.69,2447.32,1640.02,1203.01,2134.09,1859.05,2309.64,35.86,40.07,33.89,35.54,39.92,7.43,25.98,3.61,25.26,-16.43,2.14,2.21,1.56,2.79,3.25,1.97,1.28,0.63,4.08,4.58,3.31,3.3,2.22,3.88,4.69,49.57
"15",682679,677286,667923,661329,655279,96.12,90.75,92.97,91.97,86.16,37.07,40.78,40.48,36.95,35.65,8.3,3.12,10.76,3.33,-1.46,15.32,15.92,15.03,19.22,26.84,35.13,34.4,34.98,34.74,37.5,9.9,5.42,12.86,6.14,1.07,74.38,72.55,116.04,52.47,39.23,6.44,6.81,10.79,4.17,2.38,83.95,86.29,105.02,82.71,44.99,80.04,82.85,107.59,78.44,37.1,124.94,120.7,92.95,127.49,269.55,12.91,7.9,17.72,8.53,2.41,2351.81,2691.34,3017.18,2781.16,2721.07,526.65,205.67,802.04,250.76,-111.28,5136.56,5502.41,5679.97,5952.53,7556.7,1098.98,1307.08,1867.83,1785.01,1461.76,842.29,1003.14,1265.77,1357.74,1053.97,77.82,75.67,70.86,72.73,85.31,9.75,26.75,7.08,23.74,-67.91,5.33,5.25,8.14,8.53,9.2,1.86,1.42,0.89,4.55,5.39,7.02,7.62,11.12,11.6,12.26,37.12
"16",73370,72785,71655,67734,66901,93.95,95.51,98.02,96.33,93.56,52.08,55.12,53.41,50.38,51.57,8.11,7.11,10.39,6.16,5.57,11.68,13,6.42,9.87,18.95,42.65,42.52,41.69,41.72,45.67,8.84,8.04,11.12,6.69,6.14,119.77,85.13,201.69,97.06,56.41,7.55,5.39,8.75,5.9,6.37,116.45,116.67,203.76,148.45,76.12,119.97,119.88,245.08,159.59,73.73,83.35,83.42,40.8,62.66,135.64,12.79,11.35,15.34,9.19,8.11,3321.11,3802.03,4128.32,4181.79,4401.39,517.35,490.54,802.89,511.42,475.34,1808.83,1838.53,1654.64,1553.98,2455.97,1094.97,1331.78,1354.86,1557.39,1577.32,929.32,1147.68,1165.49,1361.19,1388.92,26.65,25.46,20.98,18.03,26.93,3.5,3.75,2.06,3.04,5.17,2.92,2.87,2.58,3.18,3.19,1.8,1.26,0.87,5,4.17,4.15,4.12,3.48,4.29,4,19.6
"17",48106,47932,47493,45773,45403,93.97,85.98,96.26,94.55,81.11,50.72,53.89,53.08,49.65,51.68,3.37,3.54,8.71,-0.1,2.23,12.15,8.45,15.54,18.66,27.36,45.38,44.19,45.22,45.06,49.77,6.13,4.51,10.1,3.09,3.72,73.2,223.17,74.99,24.67,69.28,2.32,12.45,10.07,1.07,2.4,65.11,176.66,170.12,197.39,66.07,53.17,207.78,193.81,225.07,62.91,188.07,48.13,51.6,44.43,158.96,8.52,7.48,14.42,4.09,5.1,3019.89,3543.26,3880.41,3754.68,4109.37,200.42,233.05,636.97,-7.39,177.04,2941.19,3035.61,3176.69,3894.88,4975.22,695.39,1453.09,2795.49,4402.29,2115.25,423.19,1215.55,2380.5,3908.76,1842.35,46.42,39.69,41.83,48.7,50.75,14.67,13.03,4.99,-527.12,28.1,5.36,3.74,5.91,8.25,6.42,2.29,1.61,1.07,4.27,7.16,7.62,6,8.17,11.31,9.1,24.79
"18",774839,780981,780796,802781,804237,95.9,95.24,96.17,93.21,92.46,34.36,39.05,36.92,32.67,32.63,6.31,1.29,9.83,0.22,-10.92,14.48,12.59,16.33,16.61,16.31,33.39,33.8,34.28,35.71,36.32,6.67,1.92,11.51,1.13,-9.36,66.67,44.17,78.48,37.76,-12.79,2.95,2.41,8.75,4.53,1.18,74.35,53.67,79.15,76.51,9.74,68.53,43.98,76.1,74,-2.03,145.93,227.38,131.41,135.14,-4920.99,8.62,2.51,14.74,1.41,-11.19,2514.58,2952.07,3269.7,2739.67,2749.19,461.39,97.19,870.64,18.51,-920.23,3963.07,4452.98,5365.96,5845.26,7525.12,1059.27,697.95,1414.34,1411.71,200.42,795.55,472.92,1185.85,1233.19,-37.01,51.94,56.1,58.27,64.98,82.58,8.59,45.82,6.16,315.85,-8.18,4.65,3.94,3.31,4.65,7.07,2.3,1.96,1.43,4.1,5.41,5.87,5.25,4.19,5.9,8.53,34.56
"19",83813,83762,83274,80756,80446,95.57,97.13,88.71,94.49,85.42,58.13,60.2,57.37,54.39,55.55,7.5,5.34,9.81,5.43,3.36,10.84,11.51,11.51,16.55,19.29,43.74,42.82,43.58,45.67,51.08,7.92,5.41,9.24,6.49,3.81,107.94,67.39,192.25,60.09,88.46,5.59,4.72,12.25,5.38,4.63,146.65,99.46,202.29,125.65,101.3,152.05,99.39,216.49,127.66,101.46,65.77,100.62,46.19,78.33,98.56,12.19,7.72,14.51,9.4,6.12,4247.91,4660.83,4855.48,4636.28,4729.03,547.85,413.6,830.27,463.19,285.82,789.56,1049.4,930.94,877.45,1082.41,1344.05,1070.24,2286.38,2166.22,2226.21,1248.94,947.57,2148.58,2040.84,1994.91,10.33,13.17,9.76,9.73,10.86,1.44,2.54,1.12,1.89,3.79,1.52,1.73,1.55,1.9,2.92,2.72,1.44,1.12,5.29,5.52,2.25,2.54,2.39,2.69,4.07,22.58
"20",108580,108177,106748,104454,103515,91.87,92.51,94.35,96.37,89.14,52.97,56.7,54.28,50.99,52.21,4.96,3.38,8.03,-0.82,-0.41,18.18,8.31,9.29,7.56,14.65,47.02,46.9,47.39,47.25,51.12,5.04,4.57,9.74,-0.3,1.32,65.4,131.08,148.79,35.79,68.33,4.72,6.92,14.33,10.8,8.71,54.55,87.99,105.32,104.82,99.87,36.07,74.38,111.23,110.42,99.82,277.2,134.45,89.9,90.56,100.18,7.61,6,14.33,-0.18,2.05,3583.76,3993.51,4181.28,3872.7,4165.66,335.43,238.14,618.44,-62.28,-32.35,3951.44,3952,4286.74,4438.67,4835.19,1096.37,1157.31,1613.66,1419.41,1798.13,515.47,458.5,807.39,691.24,1372.17,53.66,51.91,52.5,56.32,54.02,11.78,16.6,6.93,-71.27,-149.48,9.15,10.41,10.71,12.49,8.89,2.34,2.36,1.59,5.77,7.65,13.15,15.5,15,16.51,11.66,15.95
"21",52071,51893,51380,48995,48471,94.72,95.53,94.88,97.32,97.59,53.21,58.1,56.73,51.81,54,3.83,3.71,8.9,5.66,2.68,11.2,5.81,9.99,10.4,6.34,51.58,50.29,50.2,52.23,53.76,3.92,4.01,8.82,5.93,3.28,77.59,141.11,141.45,76.82,78.25,4.82,5.52,6.81,3.01,6.74,137.44,177.53,163.62,126.53,87.42,141.98,197.18,175.64,130.84,81.8,70.43,50.71,56.94,76.43,122.24,5.72,5.68,13.01,7.34,4.37,3684.03,4237.92,4506.39,4288.27,4809.39,265.05,270.59,706.74,468.83,238.98,2133.43,2030.91,1899.57,1844.88,2339.8,1293.58,964.54,1561.93,1333.49,741.45,1191.79,854.7,1410.32,1186.33,479.65,29.19,26.6,22.69,21.69,25.64,8.05,7.51,2.69,3.94,9.79,2.34,2.16,2.2,3,4.6,3.25,2.72,1.72,5.85,6.74,3.3,3.15,3.1,3.92,5.47,68.15
"22",119709,118989,117573,113146,111927,95.05,94.61,96.16,95.51,92.69,38.39,41.28,42.2,37.41,36.49,14.93,12.81,12.89,13.87,15.75,18.01,15.39,14.62,16.95,20.88,40.77,41.37,41.77,42.95,47.49,14.49,12.62,14.35,15.09,15.75,107.76,116.7,113.28,105.57,106.29,2.85,7.38,5.4,2.07,3.5,105.39,107.91,132.4,90.26,96.93,106.55,109.92,140.71,85.19,96.33,93.86,90.97,71.07,117.38,103.81,18.71,16.87,18.56,18.85,19.01,3348.6,3675.75,3976.33,3807.63,3902.7,1302.14,1140.84,1215.05,1411.06,1684.28,4262.08,4489.4,4159.25,3868.23,3922.69,2084.85,1910.55,2337.25,2457.01,2751.25,1736.84,1552.04,1976.97,1524.51,2291.05,46.44,47.7,42.44,36.3,34,3.27,3.94,3.42,2.74,2.33,4.94,4.6,4.1,10.55,6.14,2.48,1.66,0.99,4.97,6.34,6.34,6.13,5.3,13.18,7.39,30.34
"23",212230,210532,208091,198754,196918,92.89,90.53,97.5,97.57,94.37,55.35,59.29,58.17,55.03,55.46,4.38,0.63,5.17,3.17,-2.34,15.73,14.55,11.01,7.71,8.91,44.75,45.06,45.83,46.46,51.76,5.02,1.05,6.06,4.58,-1,67.4,65.5,65.86,70.02,36.16,0.52,5.14,6.51,3.96,5.39,60.05,57.17,80.26,105.22,78.36,52.56,48.3,72.33,107.72,70.75,190.27,207.02,138.25,92.83,141.33,7.48,1.26,8.6,6.15,-1.49,3311.15,3733.06,4042.11,3937.16,4055.16,261.78,39.36,359.06,227.01,-171.4,2808.38,3520.77,3933.39,4239.09,4727.49,761.4,735.36,917.32,900.65,774.78,561.07,514.78,589.74,623.08,517.79,43.61,50.62,55.19,57.82,61.01,10.73,89.45,10.95,18.67,-27.58,4.07,4.03,5.26,6.15,6.87,2.19,1.69,1.2,4.08,5.83,5.96,6.29,7.29,8.23,8.64,30.72
"24",77990,78258,77645,75820,75502,98.06,96.96,95.94,97.51,92.46,56.5,60.92,59.21,57.16,60.05,5.84,0.84,6.49,-3.8,-0.51,6.73,5.93,6.68,11.04,9.86,45.12,44.71,45.98,47.73,51.2,6.67,2.31,8.92,-3.14,0.33,114.97,63.6,160.14,-9.6,69.54,-0.28,1.07,7.88,-0.19,1.62,99.61,52.56,141.48,45.86,60.13,99.54,39.07,149.92,36.72,50.18,100.47,255.95,66.7,272.36,199.27,9.63,3.6,12.79,-4.3,0.22,3677.3,4225.39,4571.37,4261.45,4622.07,380,58.54,500.75,-283,-39.51,4113.8,4306.89,4594.68,5384.69,5697.42,525.77,292.79,880.17,514.97,635.75,440.26,169.49,774.98,352.73,424.57,61.99,60.21,57.1,70.43,68.44,10.83,73.57,9.18,-19.03,-144.21,3.7,3.66,2.49,5.74,8.4,3.89,3.22,2.06,5.14,8.56,5.22,5.46,3.58,7.9,10.98,187.1
"25",1783321,1793579,1792718,1862345,1861644,96.26,95.68,95.31,95.53,94.13,25.87,30.56,29.75,25.24,24.29,6.27,-1.04,11.13,8.75,-0.72,12.69,11.3,9.83,10.79,14.78,32.02,31.04,31.75,33.43,35.26,6.38,-0.73,11.66,9.37,0.77,74.5,26.99,165.69,121.76,31.58,13.59,13.73,18.6,8.13,7.74,180.74,107.09,244.5,239.78,134.24,203.65,108.92,273.36,273.55,136.31,49.1,91.81,36.58,36.56,73.36,7.61,-0.96,14.29,11.1,0.91,2529.04,3025.59,3415.91,2803.29,2670.09,612.53,-103.26,1277.61,972.01,-79.48,2184.52,3151.62,3241.51,2830.87,2898.19,3090.03,1716.23,3261.17,3648.28,2734.08,2712.21,1387.73,3039.14,3352.27,2618.1,21.51,30.46,26.91,24.35,24.82,3.57,-30.52,2.54,2.91,-36.46,4.72,3.98,2.43,3.39,1.85,4.64,2.63,2.18,3.47,3.44,5.63,4.97,2.97,3.99,2.09,26.83
"26",128208,128012,127561,126623,126300,83.78,80.52,93.35,93.76,86.3,40.51,44.18,41.77,39.24,39.74,6.11,7.07,10.8,6.18,5.64,24.01,23.09,24.48,17.74,20.56,42.03,42.32,43.28,44.38,47.8,6.46,13.82,11.2,6.94,6.07,85.88,112.04,62,63.44,88.07,6.89,8.19,11.42,4.33,7.89,95.23,125.15,97.4,101.13,96.26,94.76,128.08,97.12,101.37,95.86,105.53,78.08,102.96,98.65,104.32,9.58,21.52,15.42,9.4,8.24,3021.16,3575.5,3712.36,3571.66,3828.27,456.09,572.34,960.01,562.56,543.52,2701.14,2988.11,3884.29,3911.21,4661.25,2315.06,3155.36,2772.67,2264.16,2505.51,2096.56,2892.62,2496.12,1867.45,2255.83,30.34,29.73,40.8,40.29,41.76,5.92,5.22,4.05,6.95,8.58,3.07,3.08,3.18,6.04,4.87,2.03,1.58,0.67,4.86,6.3,4.54,4.93,4.2,7.81,6.35,25.11
"27",46369,46139,45715,44530,44198,81.32,88.91,90.95,89.58,93.99,57.69,60.89,59.21,55.04,59.02,7.67,7.88,9.89,5.94,8.25,19.27,26.11,18.66,19.54,13.66,43.26,43.84,44.17,44.76,47.33,7.42,7.88,10.58,7.46,9.35,139.01,62.54,95.94,76.95,100.91,12.58,11.9,6.86,9.11,9.6,112.34,89.61,124.6,83.7,109.49,116.86,87.64,130.57,78.63,114.41,85.58,114.11,76.59,127.18,87.4,12.29,12.59,16.66,11.41,12.06,4219.28,4829.05,5206.16,4996.79,5789.64,560.72,624.87,869.29,539.41,809.5,4984.9,5661.63,5239.67,5673.07,5624.66,2473.22,2751.69,2814.89,2276.46,2366.79,1883.98,2262.49,2373.47,1630.44,1629.19,55.43,63.47,54.2,55.98,53.89,8.89,9.06,6.03,10.52,6.95,7.8,6.39,5.17,9.17,10.7,2.25,1.42,1.12,5,6.75,13.14,10.2,7.9,13.62,14.1,19.03
